Count,Name,Sex,Age,Height,Weight,Team,Games,Season,Event,Medal,BMI
13938,Gergely Kulcsr,M,34,184,82,Hungary,1968 Summer,Summer,Athletics Men's Javelin Throw,Bronze,24
13939,Gyz Kulcsr,M,23,188,79,Hungary,1964 Summer,Summer,"Fencing Men's epee, Team",Gold,22
13940,Gyz Kulcsr,M,27,188,79,Hungary,1968 Summer,Summer,"Fencing Men's epee, Individual",Gold,22
13941,Gyz Kulcsr,M,27,188,79,Hungary,1968 Summer,Summer,"Fencing Men's epee, Team",Gold,22
13942,Gyz Kulcsr,M,31,188,79,Hungary,1972 Summer,Summer,"Fencing Men's epee, Individual",Bronze,22
13943,Gyz Kulcsr,M,31,188,79,Hungary,1972 Summer,Summer,"Fencing Men's epee, Team",Gold,22
13944,Gyz Kulcsr,M,35,188,79,Hungary,1976 Summer,Summer,"Fencing Men's epee, Individual",Bronze,22
13945,Krisztin Kulcsr,M,21,196,93,Hungary,1992 Summer,Summer,"Fencing Men's epee, Team",Silver,24
13946,Krisztin Kulcsr,M,33,196,93,Hungary,2004 Summer,Summer,"Fencing Men's epee, Team",Silver,24
13947,Jerzy Zdzisaw Kulej,M,23,167,66,Poland,1964 Summer,Summer,Boxing Men's Light-Welterweight,Gold,24
13948,Jerzy Zdzisaw Kulej,M,27,167,66,Poland,1968 Summer,Summer,Boxing Men's Light-Welterweight,Gold,24
13949,Irina Mikhaylovna Kulesha,F,26,163,75,Belarus,2012 Summer,Summer,Weightlifting Women's Heavyweight,Bronze,28
13950,Aleksey Vladimirovich Kuleshov,M,21,206,96,Russia,2000 Summer,Summer,Volleyball Men's Volleyball,Silver,23
13951,Aleksey Vladimirovich Kuleshov,M,25,206,96,Russia,2004 Summer,Summer,Volleyball Men's Volleyball,Bronze,23
13952,Aleksey Vladimirovich Kuleshov,M,29,206,96,Russia,2008 Summer,Summer,Volleyball Men's Volleyball,Bronze,23
13953,Oleg Mikhaylovich Kuleshov,M,30,186,95,Russia,2004 Summer,Summer,Handball Men's Handball,Bronze,27
13954,Seweryn Roman Kulesza,M,35,175,71,Poland,1936 Summer,Summer,"Equestrianism Men's Three-Day Event, Team",Silver,23
13955,Jaroslav Kulhav,M,27,188,77,Czech Republic,2012 Summer,Summer,"Cycling Men's Mountainbike, Cross-Country",Gold,22
13956,Jaroslav Kulhav,M,31,188,77,Czech Republic,2016 Summer,Summer,"Cycling Men's Mountainbike, Cross-Country",Silver,22
13957,Tams Kulifai,M,23,187,82,Hungary,2012 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,23
13958,Ilya Aleksandrovich Kulik,M,20,179,74,Russia,1998 Winter,Winter,Figure Skating Men's Singles,Gold,23
13959,Vladislav Vladimirovich Kulikov,M,21,190,86,Unified Team,1992 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Silver,24
13960,Vladislav Vladimirovich Kulikov,M,25,190,86,Russia,1996 Summer,Summer,Swimming Men's 100 metres Butterfly,Bronze,24
13961,Vladislav Vladimirovich Kulikov,M,25,190,86,Russia,1996 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Silver,24
13962,Yevgeny Nikolayevich Kulikov,M,25,180,75,Soviet Union,1976 Winter,Winter,Speed Skating Men's 500 metres,Gold,23
13963,Yevgeny Nikolayevich Kulikov,M,29,180,75,Soviet Union,1980 Winter,Winter,Speed Skating Men's 500 metres,Silver,23
13964,Georgijs Kuikovs,M,21,175,75,Soviet Union,1968 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,24
13965,Georgijs Kuikovs,M,21,175,75,Soviet Union,1968 Summer,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,24
13966,Georgijs Kuikovs,M,25,175,75,Soviet Union,1972 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,24
13967,Georgijs Kuikovs,M,25,175,75,Soviet Union,1972 Summer,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,24
13968,Stanislav Vladimirovich Kulinchenko,M,29,190,86,Russia,2000 Summer,Summer,Handball Men's Handball,Gold,24
13969,Serhiy Volodymyrovych Kulish,M,23,176,64,Ukraine,2016 Summer,Summer,"Shooting Men's Air Rifle, 10 metres",Silver,21
13970,Nikola Kuljaa,M,26,197,94,Serbia and Montenegro,2000 Summer,Summer,Water Polo Men's Water Polo,Bronze,24
13971,Ichiya Kumagae,M,29,162,59,Japan,1920 Summer,Summer,Tennis Men's Singles,Silver,22
13972,Ichiya Kumagae,M,29,162,59,Japan,1920 Summer,Summer,Tennis Men's Doubles,Silver,22
13973,Saki Kumagai,F,21,171,60,Japan,2012 Summer,Summer,Football Women's Football,Silver,21
13974,Ashok Kumar,M,22,170,57,India,1972 Summer,Summer,Hockey Men's Hockey,Bronze,20
13975,Charanjit Kumar,M,24,174,73,India,1980 Summer,Summer,Hockey Men's Hockey,Gold,24
13976,Sushil Kumar Solanki,M,25,166,66,India,2008 Summer,Summer,"Wrestling Men's Welterweight, Freestyle",Bronze,24
13977,Sushil Kumar Solanki,M,29,166,66,India,2012 Summer,Summer,"Wrestling Men's Welterweight, Freestyle",Silver,24
13978,Vijay Kumar,M,26,170,70,India,2012 Summer,Summer,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,24
13979,Astrid Kumbernuss,F,26,186,89,Germany,1996 Summer,Summer,Athletics Women's Shot Put,Gold,26
13980,Astrid Kumbernuss,F,30,186,89,Germany,2000 Summer,Summer,Athletics Women's Shot Put,Bronze,26
13981,Mario Kummer,M,26,186,72,East Germany,1988 Summer,Summer,Cycling Men's 100 kilometres Team Time Trial,Gold,21
13982,Patrizia Kummer,F,26,172,70,Switzerland,2014 Winter,Winter,Snowboarding Women's Parallel Giant Slalom,Gold,24
13983,Marina Yevgenyevna Kumysh,F,23,184,72,Soviet Union,1988 Summer,Summer,Volleyball Women's Volleyball,Gold,21
13984,Szilrd Kun,M,17,178,95,Hungary,1952 Summer,Summer,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,30
13985,Yury Aleksandrovich Kunakov,M,18,170,60,Russia,2008 Summer,Summer,Diving Men's Synchronized Springboard,Silver,21
13986,Semi Kunabuli Kunatani,M,25,192,98,Fiji,2016 Summer,Summer,Rugby Sevens Men's Rugby Sevens,Gold,27
13987,Sony Dwi Kuncoro,M,20,172,63,Indonesia,2004 Summer,Summer,Badminton Men's Singles,Bronze,21
13988,Lszl Kuncz,M,22,194,96,Hungary,1980 Summer,Summer,Water Polo Men's Water Polo,Bronze,26
13989,Kornelia Kunisch (Elbe-),F,20,172,71,East Germany,1980 Summer,Summer,Handball Women's Handball,Bronze,24
13990,"Christopher ""Chris"" Kunitz",M,34,183,88,Canada,2014 Winter,Winter,Ice Hockey Men's Ice Hockey,Gold,26
13991,Florian Kunz,M,32,200,99,Germany,2004 Summer,Summer,Hockey Men's Hockey,Bronze,25
13992,Joachim Kunz,M,21,166,69,East Germany,1980 Summer,Summer,Weightlifting Men's Lightweight,Silver,25
13993,Joachim Kunz,M,29,166,69,East Germany,1988 Summer,Summer,Weightlifting Men's Lightweight,Gold,25
13994,Hansjrg Kunze,M,28,179,63,East Germany,1988 Summer,Summer,"Athletics Men's 5,000 metres",Bronze,20
13995,Kahena Kunze,F,25,172,68,Brazil,2016 Summer,Summer,Sailing Women's Skiff,Gold,23
13996,Rdiger Kunze,M,26,188,95,East Germany,1976 Summer,Summer,Rowing Men's Coxed Fours,Silver,27
13997,Claudia Knzel-Nystad,F,24,168,58,Germany,2002 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold,21
13998,Claudia Knzel-Nystad,F,28,168,58,Germany,2006 Winter,Winter,Cross Country Skiing Women's Sprint,Silver,21
13999,Claudia Knzel-Nystad,F,28,168,58,Germany,2006 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,21
14000,Claudia Knzel-Nystad,F,32,168,58,Germany,2010 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,21
14001,Claudia Knzel-Nystad,F,32,168,58,Germany,2010 Winter,Winter,Cross Country Skiing Women's Team Sprint,Gold,21
14002,Claudia Knzel-Nystad,F,36,168,58,Germany,2014 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,21
14003,Frantiek Kunzo,M,25,175,70,Czechoslovakia,1980 Summer,Summer,Football Men's Football,Gold,23
14004,Kuo Hsing-Chun,F,22,157,58,Chinese Taipei,2016 Summer,Summer,Weightlifting Women's Lightweight,Bronze,24
14005,Kuo Yi-Hang,F,25,166,75,Chinese Taipei,2000 Summer,Summer,Weightlifting Women's Heavyweight,Bronze,27
14006,Kuo Lee Chien-Fu,M,23,184,95,Chinese Taipei,1992 Summer,Summer,Baseball Men's Baseball,Silver,28
14007,"Mitchell William ""Mitch"" Kupchak",M,22,208,104,United States,1976 Summer,Summer,Basketball Men's Basketball,Gold,24
14008,Ursula Kper (-Stille),F,22,180,75,Germany,1960 Summer,Summer,Swimming Women's 4 x 100 metres Medley Relay,Bronze,23
14009,Courtney Anne Kupets (-Carter),F,18,154,52,United States,2004 Summer,Summer,Gymnastics Women's Team All-Around,Silver,22
14010,Courtney Anne Kupets (-Carter),F,18,154,52,United States,2004 Summer,Summer,Gymnastics Women's Uneven Bars,Bronze,22
14011,Hanka Kupfernagel (-Wittig-),F,26,174,65,Germany,2000 Summer,Summer,"Cycling Women's Road Race, Individual",Silver,21
14012,Ernst-Joachim Kppers,M,22,196,98,Germany,1964 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Silver,26
14013,Olga Vitalyevna Kuragina (Nemogayeva-),F,21,170,57,Soviet Union,1980 Summer,Summer,Athletics Women's Pentathlon,Bronze,20
14014,Zaur Ismatulayevich Kuramagomedov,M,24,162,60,Russia,2012 Summer,Summer,"Wrestling Men's Lightweight, Greco-Roman",Bronze,23
14015,Koji Kuramoto,M,24,174,70,Japan,1976 Summer,Summer,Judo Men's Half-Middleweight,Silver,23
14016,Tatyana Sergeyevna Kurbakova,F,18,176,52,Russia,2004 Summer,Summer,Rhythmic Gymnastics Women's Group,Gold,17
14017,Lothar Kurbjuweit,M,21,179,75,East Germany,1972 Summer,Summer,Football Men's Football,Bronze,23
14018,Lothar Kurbjuweit,M,25,179,75,East Germany,1976 Summer,Summer,Football Men's Football,Gold,23
14019,Vyacheslav Grigoryevich Kurennoy,M,23,178,78,Soviet Union,1956 Summer,Summer,Water Polo Men's Water Polo,Bronze,25
14020,Vyacheslav Grigoryevich Kurennoy,M,27,178,78,Soviet Union,1960 Summer,Summer,Water Polo Men's Water Polo,Silver,25
14021,Viktor Grigoryevich Kurentsov,M,23,164,76,Soviet Union,1964 Summer,Summer,Weightlifting Men's Middleweight,Silver,28
14022,Viktor Grigoryevich Kurentsov,M,27,164,76,Soviet Union,1968 Summer,Summer,Weightlifting Men's Middleweight,Gold,28
14023,Jan Krka,M,25,182,78,Czechoslovakia,1968 Summer,Summer,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Gold,24
14024,Larisa Nikolayevna Kurkina,F,32,169,55,Russia,2006 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold,19
14025,Kateina Krkov-Emmons,F,20,165,53,Czech Republic,2004 Summer,Summer,"Shooting Women's Air Rifle, 10 metres",Bronze,19
14026,Kateina Krkov-Emmons,F,24,165,53,Czech Republic,2008 Summer,Summer,"Shooting Women's Air Rifle, 10 metres",Gold,19
14027,Kateina Krkov-Emmons,F,24,165,53,Czech Republic,2008 Summer,Summer,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver,19
14028,"Robert Albert ""Bob"" Kurland",M,23,213,100,United States,1948 Summer,Summer,Basketball Men's Basketball,Gold,22
14029,"Robert Albert ""Bob"" Kurland",M,27,213,100,United States,1952 Summer,Summer,Basketball Men's Basketball,Gold,22
14030,Aleksandr Nikolayevich Kurlovich,M,27,185,125,Soviet Union,1988 Summer,Summer,Weightlifting Men's Super-Heavyweight,Gold,37
14031,Aleksandr Nikolayevich Kurlovich,M,30,185,125,Unified Team,1992 Summer,Summer,Weightlifting Men's Super-Heavyweight,Gold,37
14032,Xaver Kurmann,M,20,178,71,Switzerland,1968 Summer,Summer,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,22
14033,Xaver Kurmann,M,23,178,71,Switzerland,1972 Summer,Summer,"Cycling Men's Individual Pursuit, 4,000 metres",Silver,22
14034,Hiroki Kuroda,M,29,184,89,Japan,2004 Summer,Summer,Baseball Men's Baseball,Bronze,26
14035,Akira Kuroiwa,M,26,175,80,Japan,1988 Winter,Winter,Speed Skating Men's 500 metres,Bronze,26
14036,Toshiyuki Kuroiwa,M,22,180,85,Japan,1992 Winter,Winter,Speed Skating Men's 500 metres,Silver,26
14037,Takashi Kurosu,M,27,177,80,Japan,1996 Summer,Summer,Baseball Men's Baseball,Silver,26
14038,Wojciech Sawomir Kurpiewski,M,26,187,90,Poland,1992 Summer,Summer,"Canoeing Men's Kayak Doubles, 500 metres",Silver,26
14039,Klaus-Dieter Kurrat,M,21,170,72,East Germany,1976 Summer,Summer,Athletics Men's 4 x 100 metres Relay,Silver,25
14040,Jari Pekka Kurri,M,37,184,85,Finland,1998 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,25
14041,Anne Kindig Kursinski,F,29,168,56,United States,1988 Summer,Summer,"Equestrianism Mixed Jumping, Team",Silver,20
14042,Anne Kindig Kursinski,F,37,168,56,United States,1996 Summer,Summer,"Equestrianism Mixed Jumping, Team",Silver,20
14043,Andrea Kurth (-Sredzki),F,18,178,77,East Germany,1976 Summer,Summer,Rowing Women's Coxed Fours,Gold,24
14044,Rimas Kurtinaitis,M,28,195,94,Soviet Union,1988 Summer,Summer,Basketball Men's Basketball,Gold,25
14045,Rimas Kurtinaitis,M,32,195,94,Lithuania,1992 Summer,Summer,Basketball Men's Basketball,Bronze,25
14046,Rimas Kurtinaitis,M,36,195,94,Lithuania,1996 Summer,Summer,Basketball Men's Basketball,Bronze,25
14047,Amanda Maria Kurtovic,F,21,175,71,Norway,2012 Summer,Summer,Handball Women's Handball,Gold,23
14048,Amanda Maria Kurtovic,F,25,175,71,Norway,2016 Summer,Summer,Handball Women's Handball,Bronze,23
14049,Rasa Vasylivna Kurv'iakova,F,30,185,76,Soviet Union,1976 Summer,Summer,Basketball Women's Basketball,Gold,22
14050,Aleksandr Pavlovich Kurynov,M,26,165,75,Soviet Union,1960 Summer,Summer,Weightlifting Men's Middleweight,Gold,28
14051,Kateryna Serhivna Kuryshko (-Nahirna),F,23,169,69,Soviet Union,1972 Summer,Summer,"Canoeing Women's Kayak Doubles, 500 metres",Gold,24
14052,Manfred Kurzer,M,34,175,75,Germany,2004 Summer,Summer,"Shooting Men's Running Target, 10 metres",Gold,24
14053,Kie Kusakabe,F,21,160,57,Japan,2000 Summer,Summer,Judo Women's Lightweight,Bronze,22
14054,Walter Kusch,M,22,182,70,West Germany,1976 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Bronze,21
14055,Kurt Kuschela,M,23,182,86,Germany,2012 Summer,Summer,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold,26
14056,Anton Sergeyevich Kushnir,M,29,176,71,Belarus,2014 Winter,Winter,Freestyle Skiing Men's Aerials,Gold,23
14057,Nataliya Grigoryevna Kushnir,F,22,178,72,Soviet Union,1976 Summer,Summer,Volleyball Women's Volleyball,Silver,23
14058,Serhiy Heorgiyovych Kushniriuk,M,20,202,99,Soviet Union,1976 Summer,Summer,Handball Men's Handball,Gold,24
14059,Serhiy Heorgiyovych Kushniriuk,M,24,202,99,Soviet Union,1980 Summer,Summer,Handball Men's Handball,Silver,24
14060,Kevin Kuske,M,23,196,116,Germany-2,2002 Winter,Winter,Bobsleigh Men's Four,Gold,30
14061,Kevin Kuske,M,27,196,116,Germany-1,2006 Winter,Winter,Bobsleigh Men's Two,Gold,30
14062,Kevin Kuske,M,27,196,116,Germany-1,2006 Winter,Winter,Bobsleigh Men's Four,Gold,30
14063,Kevin Kuske,M,31,196,116,Germany-1,2010 Winter,Winter,Bobsleigh Men's Two,Gold,30
14064,Kevin Kuske,M,31,196,116,Germany-1,2010 Winter,Winter,Bobsleigh Men's Four,Silver,30
14065,"Kathryn Hallowell ""Kathy"" Kusner",F,32,152,45,United States,1972 Summer,Summer,"Equestrianism Mixed Jumping, Team",Silver,19
14066,Janusz Tadeusz Kusociski,M,25,167,72,Poland,1932 Summer,Summer,"Athletics Men's 10,000 metres",Gold,26
14067,"Marian Zygmunt ""Marek"" Kuszewski",M,23,171,63,Poland,1956 Summer,Summer,"Fencing Men's Sabre, Team",Silver,22
14068,"Marian Zygmunt ""Marek"" Kuszewski",M,26,171,63,Poland,1960 Summer,Summer,"Fencing Men's Sabre, Team",Silver,22
14069,Mateusz Kusznierewicz,M,21,193,100,Poland,1996 Summer,Summer,Sailing Men's One Person Dinghy,Gold,27
14070,Mateusz Kusznierewicz,M,29,193,100,Poland,2004 Summer,Summer,Sailing Men's One Person Dinghy,Bronze,27
14071,Volodymyr Petrovych Kuts,M,29,172,72,Soviet Union,1956 Summer,Summer,"Athletics Men's 5,000 metres",Gold,24
14072,Volodymyr Petrovych Kuts,M,29,172,72,Soviet Union,1956 Summer,Summer,"Athletics Men's 10,000 metres",Gold,24
14073,Marco Kutscher,M,29,187,75,Germany,2004 Summer,Summer,"Equestrianism Mixed Jumping, Individual",Bronze,21
14074,Marco Kutscher,M,29,187,75,Germany,2004 Summer,Summer,"Equestrianism Mixed Jumping, Team",Bronze,21
14075,Oleg Nikolajewitsch Kutscherenko,M,23,160,59,Unified Team,1992 Summer,Summer,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold,23
14076,Yury Mikhaylovich Kutsenko,M,28,190,93,Soviet Union,1980 Summer,Summer,Athletics Men's Decathlon,Silver,26
14077,Heinz Ernst Kuttin,M,21,193,78,Austria,1992 Winter,Winter,"Ski Jumping Men's Large Hill, Individual",Bronze,21
14078,Heinz Ernst Kuttin,M,21,193,78,Austria,1992 Winter,Winter,"Ski Jumping Men's Large Hill, Team",Silver,21
14079,Heinz Ernst Kuttin,M,23,193,78,Austria,1994 Winter,Winter,"Ski Jumping Men's Large Hill, Team",Bronze,21
14080,Nataliya Anatolyevna Kutuzova,F,25,178,63,Russia,2000 Summer,Summer,Water Polo Women's Water Polo,Bronze,20
14081,"Hugo Maksimilian ""Mart"" Kuusik",M,34,173,70,Russia,1912 Summer,Summer,Rowing Men's Single Sculls,Bronze,23
14082,Mika Juhani Kuusisto,M,24,186,76,Finland,1992 Winter,Winter,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,22
14083,Yasuyuki Kuwahara,M,25,172,68,Japan,1968 Summer,Summer,Football Men's Football,Bronze,23
14084,Takao Kuwamoto,M,26,174,68,Japan,1996 Summer,Summer,Baseball Men's Baseball,Silver,22
14085,Dmitry Leonidovich Kuzelev,M,30,196,98,Russia,2000 Summer,Summer,Handball Men's Handball,Gold,26
14086,Olga Sergeyevna Kuzenkova,F,29,176,75,Russia,2000 Summer,Summer,Athletics Women's Hammer Throw,Silver,24
14087,Olga Sergeyevna Kuzenkova,F,33,176,75,Russia,2004 Summer,Summer,Athletics Women's Hammer Throw,Gold,24
14088,Olga Petrovna Kuzhela,F,22,172,55,Russia,2008 Summer,Summer,Synchronized Swimming Women's Team,Gold,19
14089,Valentin Yegorovich Kuzin,M,29,175,79,Soviet Union,1956 Winter,Winter,Ice Hockey Men's Ice Hockey,Gold,26
14090,Marina Vyacheslavovna Kuzina,F,23,195,86,Russia,2008 Summer,Summer,Basketball Women's Basketball,Bronze,23
14091,Svetlana Vladimirovna Kuzina,F,25,165,62,Russia,2000 Summer,Summer,Water Polo Women's Water Polo,Bronze,23
14092,Viktor Grigoryevich Kuzkin,M,23,184,89,Soviet Union,1964 Winter,Winter,Ice Hockey Men's Ice Hockey,Gold,26
14093,Viktor Grigoryevich Kuzkin,M,27,184,89,Soviet Union,1968 Winter,Winter,Ice Hockey Men's Ice Hockey,Gold,26
14094,Viktor Grigoryevich Kuzkin,M,31,184,89,Soviet Union,1972 Winter,Winter,Ice Hockey Men's Ice Hockey,Gold,26
14095,Slobodan Kuzmanovski,M,22,198,100,Yugoslavia,1984 Summer,Summer,Handball Men's Handball,Gold,26
14096,Slobodan Kuzmanovski,M,26,198,100,Yugoslavia,1988 Summer,Summer,Handball Men's Handball,Bronze,26
14097,Anastasia Vladimirovna Kuzmina (Shipulina-),F,25,180,67,Slovakia,2010 Winter,Winter,Biathlon Women's 7.5 kilometres Sprint,Gold,21
14098,Anastasia Vladimirovna Kuzmina (Shipulina-),F,25,180,67,Slovakia,2010 Winter,Winter,Biathlon Women's 10 kilometres Pursuit,Silver,21
14099,Anastasia Vladimirovna Kuzmina (Shipulina-),F,29,180,67,Slovakia,2014 Winter,Winter,Biathlon Women's 7.5 kilometres Sprint,Gold,21
14100,Afanasijs Kuzmins,M,41,178,89,Soviet Union,1988 Summer,Summer,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,28
14101,Afanasijs Kuzmins,M,45,178,89,Latvia,1992 Summer,Summer,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,28
14102,Andrey Ivanovich Kuznetsov,M,22,198,93,Soviet Union,1988 Summer,Summer,Volleyball Men's Volleyball,Silver,24
14103,Boris Georgiyevich Kuznetsov,M,25,160,57,Soviet Union,1972 Summer,Summer,Boxing Men's Featherweight,Gold,22
14104,Mikhail Nikolayevich Kuznetsov,M,23,174,72,Russia,2008 Summer,Summer,"Canoeing Men's Canadian Doubles, Slalom",Bronze,24
14105,Mikhail Nikolayevich Kuznetsov,M,24,170,75,Soviet Union,1976 Summer,Summer,Rowing Men's Coxed Fours,Gold,26
14106,Nikolay Aleksandrovich Kuznetsov,M,23,180,73,Russia,1996 Summer,Summer,"Cycling Men's Team Pursuit, 4,000 metres",Silver,23
14107,Nikolay Alekseyevich Kuznetsov,M,33,179,74,Soviet Union,1964 Summer,Summer,Water Polo Men's Water Polo,Bronze,23
14108,Nikolay Aleksandrovich Kuznetsov,M,23,170,75,Soviet Union,1976 Summer,Summer,Rowing Men's Coxless Fours,Bronze,26
14109,Pavel Viktorovich Kuznetsov,M,27,178,100,Soviet Union,1988 Summer,Summer,Weightlifting Men's Heavyweight I,Gold,32
14110,Vasily Dmitriyevich Kuznetsov,M,24,185,83,Soviet Union,1956 Summer,Summer,Athletics Men's Decathlon,Bronze,24
14111,Vasily Dmitriyevich Kuznetsov,M,28,185,83,Soviet Union,1960 Summer,Summer,Athletics Men's Decathlon,Bronze,24
14112,Viktor Aleksandrovich Kuznetsov,M,19,192,78,Soviet Union,1980 Summer,Summer,Swimming Men's 100 metres Backstroke,Silver,21
14113,Viktor Aleksandrovich Kuznetsov,M,19,192,78,Soviet Union,1980 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Silver,21
14114,Vitaly Yakovlevich Kuznetsov,M,31,180,112,Soviet Union,1972 Summer,Summer,Judo Men's Open Class,Silver,35
14115,Vladimir Vladimirovich Kuznetsov,M,27,177,79,Soviet Union,1964 Summer,Summer,Water Polo Men's Water Polo,Bronze,25
14116,Yevgeny Borisovich Kuznetsov,M,27,180,75,Soviet Union,1988 Summer,Summer,Football Men's Football,Gold,23
14117,Yevgeny Vladimirovich Kuznetsov,M,22,170,64,Russia,2012 Summer,Summer,Diving Men's Synchronized Springboard,Silver,22
14118,Polina Viktorovna Kuznetsova (Vyakhireva-),F,29,168,60,Russia,2016 Summer,Summer,Handball Women's Handball,Gold,21
14119,Yevgeniya Petrovna Kuznetsova,F,15,143,36,Russia,1996 Summer,Summer,Gymnastics Women's Team All-Around,Silver,18
14120,Nataliya Vladimirovna Kuznetsova-Lobanova (-Timoshinina),F,21,163,61,Soviet Union,1968 Summer,Summer,Diving Women's Platform,Silver,23
14121,Nataliya Yuryevna Kuzyutina,F,27,160,52,Russia,2016 Summer,Summer,Judo Women's Half-Lightweight,Bronze,20
14122,Manuchar K'virk'velia,M,29,170,74,Georgia,2008 Summer,Summer,"Wrestling Men's Middleweight, Greco-Roman",Gold,26
14123,Eirik Kvalfoss,M,24,179,69,Norway,1984 Winter,Winter,Biathlon Men's 10 kilometres Sprint,Gold,22
14124,Eirik Kvalfoss,M,24,179,69,Norway,1984 Winter,Winter,Biathlon Men's 20 kilometres,Bronze,22
14125,Eirik Kvalfoss,M,24,179,69,Norway,1984 Winter,Winter,Biathlon Men's 4 x 7.5 kilometres Relay,Silver,22
14126,Illia Olehovych Kvasha,M,20,176,73,Ukraine,2008 Summer,Summer,Diving Men's Synchronized Springboard,Bronze,24
14127,Oleg Vladimirovich Kvasha,M,23,195,97,Russia,2002 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,26
14128,Shota Kveliashvili,M,26,177,79,Soviet Union,1964 Summer,Summer,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver,25
14129,Kornelija Kvesi,F,25,188,72,Yugoslavia,1988 Summer,Summer,Basketball Women's Basketball,Silver,20
14130,Petra Kvitov,F,26,183,70,Czech Republic,2016 Summer,Summer,Tennis Women's Singles,Bronze,21
14131,Khatuna Kvrivishvili-Lorig,F,18,170,64,Unified Team,1992 Summer,Summer,Archery Women's Team,Bronze,22
14132,Kwag Hye-Jeong,F,21,170,65,South Korea,1996 Summer,Summer,Handball Women's Handball,Silver,22
14133,Michelle Wingshan Kwan (-Pell),F,17,157,49,United States,1998 Winter,Winter,Figure Skating Women's Singles,Silver,20
14134,Michelle Wingshan Kwan (-Pell),F,21,157,49,United States,2002 Winter,Winter,Figure Skating Women's Singles,Bronze,20
14135,"Maria Jadwiga Kwaniewska (-Trytko, -Komiska, -Maleszewska)",F,22,165,56,Poland,1936 Summer,Summer,Athletics Women's Javelin Throw,Bronze,21
14136,Czesaw Kwieciski,M,29,179,88,Poland,1972 Summer,Summer,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,27
14137,Czesaw Kwieciski,M,33,179,88,Poland,1976 Summer,Summer,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,27
14138,Kye Sun-Hui,F,16,158,60,North Korea,1996 Summer,Summer,Judo Women's Extra-Lightweight,Gold,24
14139,Kye Sun-Hui,F,21,158,60,North Korea,2000 Summer,Summer,Judo Women's Half-Lightweight,Bronze,24
14140,Kye Sun-Hui,F,25,158,60,North Korea,2004 Summer,Summer,Judo Women's Lightweight,Silver,24
14141,Vladimr Khos,M,27,182,82,Czechoslovakia,1984 Winter,Winter,Ice Hockey Men's Ice Hockey,Silver,25
14142,Kaylyn McKenzie Kyle,F,23,173,61,Canada,2012 Summer,Summer,Football Women's Football,Bronze,20
14143,Anne Maria Kyllnen,F,26,173,61,Finland,2014 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,20
14144,"Erik Kynard, Jr.",M,21,194,89,United States,2012 Summer,Summer,Athletics Men's High Jump,Silver,24
14145,John Marriott Kynoch,M,39,178,76,Great Britain,1972 Summer,Summer,"Shooting Mixed Running Target, 50 metres",Bronze,24
14146,"Wilhelm ""Ville"" Kyrnen",M,21,165,55,Finland,1912 Summer,Summer,"Athletics Men's Cross-Country, Team",Silver,20
14147,Alena Kyselicov (-Nejzlkov),F,22,165,59,Czechoslovakia,1980 Summer,Summer,Hockey Women's Hockey,Silver,22
14148,Volodymyr Viktorovych Kyselov,M,23,185,125,Soviet Union,1980 Summer,Summer,Athletics Men's Shot Put,Gold,37
14149,Julio Csar La Cruz Peraza,M,26,182,81,Cuba,2016 Summer,Summer,Boxing Men's Light-Heavyweight,Gold,24
