Count,Name,Sex,Age,Height,Weight,Team,Games,Season,Event,Medal,BMI
9949,"Michael Steven ""Mike"" Hessman",M,30,196,107,United States,2008 Summer,Summer,Baseball Men's Baseball,Bronze,28
9950,Carl Rupert Hester,M,45,182,86,Great Britain,2012 Summer,Summer,"Equestrianism Mixed Dressage, Team",Gold,26
9951,Carl Rupert Hester,M,49,182,86,Great Britain,2016 Summer,Summer,"Equestrianism Mixed Dressage, Team",Silver,26
9952,Mihly Hesz (Hess),M,20,186,81,Hungary,1964 Summer,Summer,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,23
9953,Mihly Hesz (Hess),M,24,186,81,Hungary,1968 Summer,Summer,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,23
9954,Tor-Arne Hetland,M,28,186,79,Norway,2002 Winter,Winter,Cross Country Skiing Men's Sprint,Gold,23
9955,Tor-Arne Hetland,M,32,186,79,Norway,2006 Winter,Winter,Cross Country Skiing Men's Team Sprint,Silver,23
9956,Georg Hettich,M,23,179,64,Germany,2002 Winter,Winter,Nordic Combined Men's Team,Silver,20
9957,Georg Hettich,M,27,179,64,Germany,2006 Winter,Winter,Nordic Combined Men's Team,Silver,20
9958,Georg Hettich,M,27,179,64,Germany,2006 Winter,Winter,Nordic Combined Men's Individual,Gold,20
9959,Georg Hettich,M,27,179,64,Germany,2006 Winter,Winter,Nordic Combined Men's Sprint,Bronze,20
9960,Urban Hettich,M,22,178,77,West Germany,1976 Winter,Winter,Nordic Combined Men's Individual,Silver,24
9961,Gerhard Hetz,M,22,177,70,Germany,1964 Summer,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,22
9962,Gerhard Hetz,M,22,177,70,Germany,1964 Summer,Summer,Swimming Men's 400 metres Individual Medley,Bronze,22
9963,Amy Hetzel,F,25,178,65,Australia,2008 Summer,Summer,Water Polo Women's Water Polo,Bronze,21
9964,Gaston Heuet,M,31,160,49,France,1924 Summer,Summer,"Athletics Men's Cross-Country, Team",Bronze,19
9965,"James Frederic ""Jimmy"" Heuga",M,20,168,72,United States,1964 Winter,Winter,Alpine Skiing Men's Slalom,Bronze,26
9966,Olaf Heukrodt,M,18,190,82,East Germany,1980 Summer,Summer,"Canoeing Men's Canadian Singles, 500 metres",Bronze,23
9967,Olaf Heukrodt,M,18,190,82,East Germany,1980 Summer,Summer,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,23
9968,Olaf Heukrodt,M,26,190,82,East Germany,1988 Summer,Summer,"Canoeing Men's Canadian Singles, 500 metres",Gold,23
9969,Olaf Heukrodt,M,26,190,82,East Germany,1988 Summer,Summer,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,23
9970,Olaf Heukrodt,M,30,190,82,Germany,1992 Summer,Summer,"Canoeing Men's Canadian Singles, 500 metres",Bronze,23
9971,Patrick Heuscher,M,27,194,93,Switzerland-2,2004 Summer,Summer,Beach Volleyball Men's Beach Volleyball,Bronze,25
9972,Jrgen Heuser,M,27,188,134,East Germany,1980 Summer,Summer,Weightlifting Men's Super-Heavyweight,Silver,38
9973,Istvn Hevesi,M,25,185,86,Hungary,1956 Summer,Summer,Water Polo Men's Water Polo,Gold,25
9974,Istvn Hevesi,M,29,185,86,Hungary,1960 Summer,Summer,Water Polo Men's Water Polo,Bronze,25
9975,Jessica Hewitt,F,27,165,53,Canada,2014 Winter,Winter,"Short Track Speed Skating Women's 3,000 metres Relay",Silver,19
